tick,p_t,surface_value,kinetic_energy,potential_energy,curvature_proxy
0,1.0,4,4,0,4.0
1,1.0,8,8,0,1.6
2,0.8252459274494517,12,10,2,0.9230769230769231
3,0.6993501808327484,18,15,3,0.782608695652174
4,0.5891503766958275,22,11,11,0.5789473684210527
5,0.5115216780269164,28,14,14,0.5714285714285714
6,0.44437033253012226,34,14,20,0.5396825396825397
7,0.3855280920195657,36,12,24,0.4675324675324675
8,0.34022822640260125,43,16,27,0.48314606741573035
9,0.3004743442229379,49,14,35,0.4666666666666667
10,0.26668892438828257,53,14,39,0.44537815126050423
11,0.23878983295687312,59,18,41,0.44360902255639095
12,0.21342874344104862,58,12,46,0.3841059602649007
13,0.19371843792567547,63,6,57,0.38650306748466257
14,0.17737064483533282,68,9,59,0.40236686390532544
15,0.08478651685393258,71,7,64,0.398876404494382
16,0.08467027027027028,72,11,61,0.3891891891891892
17,0.08465306122448979,76,5,71,0.3877551020408163
18,0.08447761194029851,75,4,71,0.373134328358209
19,0.08433170731707318,74,13,61,0.36097560975609755
20,0.08407339449541285,74,9,65,0.3394495412844037
21,0.08412334801762114,78,3,75,0.3436123348017621
22,0.08406956521739131,78,9,69,0.3391304347826087
23,0.08396652719665273,79,4,75,0.3305439330543933
24,0.08385185185185184,78,8,70,0.32098765432098764
25,0.08392031872509961,82,5,77,0.32669322709163345
26,0.083890625,83,2,81,0.32421875
27,0.08381395348837209,82,9,73,0.3178294573643411
28,0.08377528089887641,84,7,77,0.3146067415730337
29,0.08385401459854014,88,7,81,0.32116788321167883
30,0.08367259786476869,86,8,78,0.30604982206405695
31,0.08365397923875433,88,5,83,0.3044982698961938
32,0.0836734693877551,90,5,85,0.30612244897959184
33,0.08361204013377928,90,8,82,0.3010033444816054
34,0.08359609120521172,92,5,87,0.2996742671009772
35,0.08357692307692308,93,7,86,0.2980769230769231
36,0.08353605015673982,94,11,83,0.2946708463949843
37,0.0834909090909091,96,3,93,0.2909090909090909
38,0.08349549549549551,97,9,88,0.2912912912912913
39,0.0832982456140351,94,7,87,0.27485380116959063
40,0.08323209169054442,94,8,86,0.2693409742120344
41,0.08326050420168069,97,9,88,0.27170868347338933
42,0.08324590163934426,99,11,88,0.27049180327868855
43,0.08327851458885942,103,9,94,0.27320954907161804
44,0.08332642487046632,107,11,96,0.2772020725388601
45,0.08323425692695213,107,7,100,0.2695214105793451
46,0.08326732673267326,110,4,106,0.2722772277227723
47,0.08341176470588237,116,10,106,0.28431372549019607
48,0.08338755980861244,118,7,111,0.2822966507177033
49,0.08338823529411764,120,6,114,0.2823529411764706
50,0.08334106728538282,120,7,113,0.27842227378190254
51,0.08328767123287671,120,18,102,0.273972602739726
52,0.08326315789473684,124,5,119,0.2719298245614035
53,0.0833058568329718,127,16,111,0.2754880694143167
54,0.08332075471698114,132,12,120,0.27672955974842767
55,0.08319018404907975,130,17,113,0.2658486707566462
56,0.08308300395256918,130,14,116,0.25691699604743085
57,0.08311538461538462,135,13,122,0.25961538461538464
58,0.08321951219512196,143,9,134,0.2682926829268293
59,0.08318819188191881,144,10,134,0.2656826568265683
60,0.08308695652173913,142,17,125,0.2572463768115942
61,0.08295254833040422,140,18,122,0.2460456942003515
62,0.08300511073253834,147,10,137,0.2504258943781942
63,0.08287437185929647,143,14,129,0.23953098827470687
64,0.08282815057283142,144,12,132,0.23567921440261866
65,0.08283146067415731,147,13,134,0.23595505617977527
66,0.08284905660377359,151,12,139,0.23742138364779874
67,0.0827962962962963,151,10,141,0.2330246913580247
68,0.0827355623100304,150,10,140,0.22796352583586627
69,0.08273053892215568,152,11,141,0.2275449101796407
70,0.08266863033873344,151,10,141,0.22238586156111928
71,0.08264731494920173,152,7,145,0.22060957910014514
72,0.0826896551724138,156,13,143,0.22413793103448276
73,0.08265726375176305,157,13,144,0.22143864598025387
74,0.08265927977839335,160,11,149,0.22160664819944598
75,0.08265211459754435,162,17,145,0.22100954979536153
76,0.082608,163,11,152,0.21733333333333332
77,0.08260183968462549,165,16,149,0.21681997371879105
78,0.08262548262548262,170,19,151,0.2187902187902188
79,0.0826683417085427,177,12,165,0.22236180904522612
80,0.08258415841584159,174,17,157,0.21534653465346534
81,0.0825309090909091,174,15,159,0.2109090909090909
82,0.0825142857142857,176,16,160,0.20952380952380953
83,0.08264953271028037,189,15,174,0.2207943925233645
84,0.08261768082663606,190,22,168,0.21814006888633755
85,0.0825531914893617,190,12,178,0.2127659574468085
86,0.08253259668508287,191,11,180,0.2110497237569061
87,0.08256768558951964,196,21,175,0.21397379912663755
88,0.08263820704375667,206,14,192,0.2198505869797225
89,0.08262460567823343,208,17,191,0.21871713985278654
90,0.08265289256198348,214,16,198,0.22107438016528927
91,0.08260975609756098,214,18,196,0.21747967479674796
92,0.0825868263473054,216,16,200,0.2155688622754491
93,0.08261689587426327,222,16,206,0.2180746561886051
94,0.08263442940038684,227,21,206,0.21953578336557059
95,0.08258199052132702,227,12,215,0.21516587677725119
96,0.08255295220243675,227,19,208,0.21274601686972822
97,0.08247513812154697,224,19,205,0.20626151012891344
98,0.08242171945701358,223,13,210,0.20180995475113123
99,0.08239355992844365,223,20,203,0.19946332737030412
100,0.08238312829525483,226,22,204,0.19859402460456943
101,0.08228620689655174,221,18,203,0.19051724137931034
102,0.08230220713073004,226,11,215,0.19185059422750425
103,0.0823313708999159,231,17,214,0.19428090832632464
104,0.08233830845771145,235,20,215,0.19485903814262023
105,0.08236867862969005,242,19,223,0.19738988580750408
106,0.08233253012048193,242,19,223,0.19437751004016066
107,0.08226898734177215,239,23,216,0.18908227848101267
108,0.08224708624708624,241,16,225,0.18725718725718726
109,0.0822655410590944,246,18,228,0.18879508825786645
110,0.08226192278576835,249,16,233,0.18849356548069643
111,0.08219895287958115,245,22,223,0.18324607329842932
112,0.08211920529801324,240,20,220,0.17660044150110377
113,0.08214938361131255,247,22,225,0.1791153009427121
114,0.08216702355460387,253,26,227,0.18058529621698788
115,0.08219481429572531,261,29,232,0.1829011913104415
116,0.08217582417582417,264,18,246,0.1813186813186813
117,0.08218995929443691,269,22,247,0.1824966078697422
